日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","5150","5190","5120","5150","5300","5150"
"2020-01-07","5180","5210","5160","5210","5200","5210"
"2020-01-08","5260","5260","5110","5140","5200","5140"
"2020-01-09","5240","5250","5150","5150","3500","5150"
"2020-01-10","5170","5180","5160","5160","1700","5160"
"2020-01-14","5180","5240","5110","5170","9600","5170"
"2020-01-15","5270","5310","5220","5300","8600","5300"
"2020-01-16","5300","5310","5140","5140","4200","5140"
"2020-01-17","5160","5180","5110","5130","4000","5130"
"2020-01-20","5230","5350","5200","5330","7200","5330"
"2020-01-21","5340","5340","5280","5290","3800","5290"
"2020-01-22","5290","5360","5270","5280","3600","5280"
"2020-01-23","5230","5330","5230","5290","2700","5290"
"2020-01-24","5250","5250","5180","5180","3900","5180"
"2020-01-27","5140","5170","5110","5110","7000","5110"
"2020-01-28","5030","5140","5010","5100","6800","5100"
"2020-01-29","5070","5120","5050","5090","2700","5090"
"2020-01-30","5090","5100","5010","5100","6800","5100"
"2020-01-31","5000","5070","5000","5020","4600","5020"
"2020-02-03","4990","5080","4990","5040","3800","5040"
"2020-02-04","5040","5090","5040","5090","2600","5090"
"2020-02-05","5090","5090","5050","5050","4000","5050"
"2020-02-06","5060","5200","5050","5160","8000","5160"
"2020-02-07","5240","5240","5170","5200","4100","5200"
"2020-02-10","5100","5200","5100","5190","2500","5190"
"2020-02-12","5200","5220","5100","5100","3800","5100"
"2020-02-13","5050","5120","5050","5060","3900","5060"
"2020-02-14","5060","5120","5060","5100","2300","5100"
"2020-02-17","5120","5120","5010","5010","3700","5010"
"2020-02-18","5010","5010","4915","4925","4700","4925"
"2020-02-19","4925","4960","4915","4920","4200","4920"
"2020-02-20","4925","4945","4865","4870","2900","4870"
"2020-02-21","4850","4940","4850","4940","2800","4940"
"2020-02-25","4805","4900","4750","4750","14000","4750"
"2020-02-26","4750","4865","4730","4865","9200","4865"
"2020-02-27","4865","4865","4765","4765","9900","4765"
"2020-02-28","4650","4665","4485","4485","11700","4485"
"2020-03-02","4440","4575","4410","4545","12200","4545"
"2020-03-03","4585","4625","4425","4425","10000","4425"
"2020-03-04","4355","4455","4350","4380","8100","4380"
"2020-03-05","4425","4455","4375","4380","9200","4380"
"2020-03-06","4355","4370","4240","4240","10700","4240"
"2020-03-09","4220","4220","4050","4085","12100","4085"
"2020-03-10","3960","4210","3900","4195","12200","4195"
"2020-03-11","4195","4260","4155","4155","9600","4155"
"2020-03-12","4145","4145","3960","3985","15400","3985"
"2020-03-13","3800","3890","3675","3795","22200","3795"
"2020-03-16","3830","3995","3830","3885","15300","3885"
"2020-03-17","3805","4055","3790","4035","24900","4035"
"2020-03-18","4105","4215","3940","3940","16000","3940"
"2020-03-19","4010","4220","4010","4065","20000","4065"
"2020-03-23","4135","4230","3940","3980","25600","3980"
"2020-03-24","4120","4150","4040","4130","15300","4130"
"2020-03-25","4260","4295","4230","4290","20300","4290"
"2020-03-26","4205","4240","4135","4215","21900","4215"
"2020-03-27","4200","4550","4200","4535","50700","4535"
"2020-03-30","4230","4340","4080","4315","27100","4315"
"2020-03-31","4320","4365","4220","4365","14400","4365"
"2020-04-01","4270","4340","4140","4140","9800","4140"
"2020-04-02","4090","4225","4090","4215","7900","4215"
"2020-04-03","4145","4230","4050","4050","4600","4050"
"2020-04-06","4035","4250","4035","4230","7000","4230"
"2020-04-07","4290","4360","4205","4330","7300","4330"
"2020-04-08","4355","4455","4325","4445","9200","4445"
"2020-04-09","4390","4430","4300","4395","7200","4395"
"2020-04-10","4365","4390","4280","4385","4200","4385"
"2020-04-13","4405","4405","4335","4350","4300","4350"
"2020-04-14","4395","4420","4345","4400","5500","4400"
"2020-04-15","4405","4430","4170","4220","9500","4220"
"2020-04-16","4225","4390","4220","4390","8100","4390"
"2020-04-17","4395","4455","4370","4390","7100","4390"
"2020-04-20","4390","4405","4365","4370","1900","4370"
"2020-04-21","4350","4400","4320","4360","2800","4360"
"2020-04-22","4325","4370","4310","4335","4400","4335"
"2020-04-23","4350","4450","4340","4450","5400","4450"
"2020-04-24","4465","4585","4415","4585","8200","4585"
"2020-04-27","4585","4610","4545","4610","4000","4610"
"2020-04-28","4610","4685","4560","4685","5200","4685"
"2020-04-30","4660","4890","4655","4730","13500","4730"
"2020-05-01","4730","4785","4715","4750","5000","4750"
"2020-05-07","4745","4745","4615","4630","4900","4630"
"2020-05-08","4660","4660","4615","4630","3000","4630"
"2020-05-11","4650","4695","4615","4625","4300","4625"
"2020-05-12","4625","4700","4625","4660","1500","4660"
"2020-05-13","4645","4695","4620","4695","2600","4695"
"2020-05-14","4695","4695","4620","4620","1100","4620"
"2020-05-15","4690","4690","4610","4670","1600","4670"
"2020-05-18","4660","4675","4520","4675","3300","4675"
"2020-05-19","4685","4740","4670","4710","3600","4710"
"2020-05-20","4675","4705","4670","4690","2700","4690"
"2020-05-21","4660","4695","4660","4685","600","4685"
"2020-05-22","4665","4670","4650","4670","1700","4670"
"2020-05-25","4670","4705","4655","4705","1600","4705"
"2020-05-26","4710","4845","4695","4760","4200","4760"
"2020-05-27","4760","4775","4715","4750","3100","4750"
"2020-05-28","4730","4840","4705","4780","5800","4780"
"2020-05-29","4745","4925","4675","4690","9900","4690"
"2020-06-01","4690","4705","4665","4705","2200","4705"
"2020-06-02","4705","4855","4705","4760","4600","4760"
"2020-06-03","4760","4780","4745","4780","3100","4780"
"2020-06-04","4750","4790","4740","4770","2700","4770"
"2020-06-05","4770","5000","4755","5000","4700","5000"
"2020-06-08","4995","5020","4940","5020","5400","5020"
"2020-06-09","5000","5000","4910","4975","2100","4975"
"2020-06-10","4905","5210","4865","5210","10800","5210"
"2020-06-11","5110","5200","5110","5170","5600","5170"
"2020-06-12","5140","5150","5000","5090","6800","5090"
"2020-06-15","5010","5090","4875","4875","5500","4875"
"2020-06-16","4880","4990","4880","4970","3100","4970"
